test_id,type,status,order_ok,order_error,onset_idx,onset_time_s,onset_value_N,min_force_idx,min_force_time_s,min_force_value_N,p1_idx,p1_time_s,p1_value_N,p2_idx,p2_time_s,p2_value_N,take_off_idx,take_off_time_s,take_off_value_N,landing_idx,landing_time_s,landing_value_N,key_points_count
699fff397d1bd36d2670864d,sj,ok,True,,,,,,,,,,,,,,2696,2.6719,311.79417786991337,3102,3.0743,461.5966614884822,5
699fff4b7d1bd36d2670864e,sj,ok,True,,,,,,,,,,,,,,1836,1.8338,311.00900389431297,2229,2.2263,511.6135115980228,5
699fff557d1bd36d2670864f,sj,ok,True,,,,,,,,,,,,,,1855,1.8535,317.04519158414,2240,2.2382,450.37094085335974,5
699fff857d1bd36d26708650,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
69a001e97d1bd36d26708655,sj,ok,True,,,,,,,,,,,,,,2399,2.398,272.848339211575,2777,2.7759,371.05290414159913,5
69a001f87d1bd36d26708656,sj,ok,True,,,,,,,,,,,,,,2128,2.1002,256.51526418902046,2500,2.4674,410.58873587914366,5
69a0024c7d1bd36d26708657,sj,ok,True,,,,,,,,,,,,,,1915,1.9104,280.95598760614786,2274,2.2685,409.1724456602357,5
69a002607d1bd36d26708658,sj,ok,True,,,,,,,,,,,,,,2143,2.1146,260.79941835534675,2523,2.4896,388.8790473373333,5
69a002787d1bd36d26708659,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
69a0049c7d1bd36d2670865a,sj,ok,True,,,,,,,,,,,,,,2413,2.4217,355.7425603449255,2857,2.8673,489.5796069253288,5
69a004b07d1bd36d2670865b,sj,ok,True,,,,,,,,,,,,,,1970,1.9684,308.3486327815603,2448,2.446,511.64725342331866,8
69a005e87d1bd36d26708660,sj,ok,True,,,,,,,,,,,,,,2039,2.0325,364.1393898067392,2435,2.4272,529.6727329029837,5
69a0062c7d1bd36d26708661,sj,ok,True,,,,,,,,,,,,,,1612,1.6088,409.9498245992505,2063,2.0589,631.1468526471132,5
69a006437d1bd36d26708662,sj,ok,True,,,,,,,,,,,,,,1927,1.9011,392.9006184386117,2361,2.3293,593.1504488841584,5
69a008137d1bd36d26708669,sj,ok,True,,,,,,,,,,,,,,2257,2.2516,420.44343778457556,2704,2.6975,641.4898498933225,5
69a008267d1bd36d2670866a,sj,ok,True,,,,,,,,,,,,,,1852,1.8509,407.24129892844866,2291,2.2896,602.7590701512237,5
69a008517d1bd36d2670866b,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
69a00a367d1bd36d26708673,sj,ok,True,,,,,,,,,,,,,,2620,2.6127,331.92951230082366,3092,3.0834,440.23363334957816,8
69a00a4e7d1bd36d26708674,sj,ok,True,,,,,,,,,,,,,,2575,2.5663,321.4112067215805,2966,2.9559,474.383341605965,5
69a00a697d1bd36d26708675,sj,ok,True,,,,,,,,,,,,,,2175,2.1448,307.14206833204395,2606,2.5698,485.15456441670875,5
69a00a777d1bd36d26708676,sj,ok,True,,,,,,,,,,,,,,2074,2.0483,312.3675115023904,2455,2.4245,488.9443863718967,5
69a00a8f7d1bd36d26708677,sj,ok,True,,,,,,,,,,,,,,2293,2.3008,321.45262186815444,2661,2.6701,515.1316668008676,5
69a00ab17d1bd36d26708678,sj,ok,True,,,,,,,,,,,,,,2384,2.3754,340.8588912036259,2697,2.6873,520.1327727173523,5
69a00b967d1bd36d2670867d,sj,ok,True,,,,,,,,,,,,,,2398,2.3798,272.41001687039255,2713,2.6924,419.7963635490316,5
69a00ba17d1bd36d2670867e,sj,ok,True,,,,,,,,,,,,,,1843,1.8467,269.56881541721964,2138,2.1423,430.34925224023056,5
69a00bb57d1bd36d2670867f,sj,ok,True,,,,,,,,,,,,,,2177,2.1614,272.2926990979388,2457,2.4394,415.2993456599214,5
69a00bd37d1bd36d26708680,sj,ok,True,,,,,,,,,,,,,,1797,1.7845,267.37379573083416,2094,2.0794,427.41841933905556,5
69a00be27d1bd36d26708681,sj,ok,True,,,,,,,,,,,,,,1987,1.9681,273.7282725206613,2292,2.2702,436.28298341587595,5
69a00bf87d1bd36d26708682,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
69a00c0b7d1bd36d26708683,sj,ok,True,,,,,,,,,,,,,,2287,2.312,264.0237270861841,2588,2.6163,400.80602931287643,5
69a00c4b7d1bd36d26708684,sj,ok,True,,,,,,,,,,,,,,2234,2.2371,270.64814870272306,2537,2.5406,429.7820366306471,5
69a00d937d1bd36d26708691,sj,ok,True,,,,,,,,,,,,,,1662,1.6524,344.82848378968737,2039,2.0272,553.3953392572724,5
